id,canonical_name,aliases,country_iso3,sectors,status,location_precision,lat,lon,geom_wkt,summary,notes,created_at,updated_at
wba_prj_01HREAL012,Kenya Advanced Institute of Science and Technology at Konza,Kenya-KAIST,KEN,schools|universities|telecommunications,proposed,approximate,-1.057,37.095,,"Kenya-KAIST at Konza Technopolis, Korea Eximbank EDCF $94.7m loan, KAIST consortium design, 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL013,Lamu Port First Three Berths,Lamu Port Berths 1-3,KEN,ports,commissioned,exact,-2.416,40.910,POINT(40.910 -2.416),"Lamu Port first 3 berths by CCCC/CRBC $484m, Phase 1 of LAPSSET, Berth 1 commissioned 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL014,Hawassa Industrial Park,Hawassa Park,ETH,industrial_parks|manufacturing,commissioned,exact,7.060,38.476,POINT(38.476 7.060),"Hawassa Industrial Park 1.38m sqm by CCECC $246m, 9 months build, inaugurated 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL015,Kazungula Bridge,Kazungula Bridge,BWA,bridges,commissioned,exact,-17.775,25.262,POINT(25.262 -17.775),"Kazungula 923m extradosed road/rail bridge by Daewoo E&C $161m, Botswana/Zambia cross-border, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL016,Beitbridge Border Post Modernisation,Beitbridge Border,ZWE,other,commissioned,exact,-22.217,29.987,POINT(29.987 -22.217),"Beitbridge border post $300m modernisation by Raubex/Zimborders, 17yr BOT, commissioned Dec 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL017,TelOne National Broadband Telecommunication Project,TelOne NBB,ZWE,telecommunications|digital_infrastructure,commissioned,approximate,-17.829,31.053,,"TelOne broadband and 2 data centres by Huawei, $98.6m China Exim PBC, 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL018,Thwake Multipurpose Water Development Program,Thwake Dam,KEN,dams|water_supply|hydropower,construction_started,exact,-1.789,37.738,POINT(37.738 -1.789),"Thwake Dam 80.5m 534M m3 by CGGC, AfDB $370m Phase 1, signed 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL019,Mombasa Port Second Container Terminal,Mombasa Berths 20-21,KEN,ports,commissioned,exact,-4.054,39.636,POINT(39.636 -4.054),"Mombasa Port second terminal by Toyo Construction, JICA Sh32bn loan, 2016/2022",,2026-09-11,2026-09-11
wba_prj_01HREAL020,Adama Wind Power Project I & II,Adama Wind,ETH,wind_power,commissioned,exact,8.458,39.250,POINT(39.250 8.458),"Adama 204 MW wind by CGCOC/HydroChina, 136 turbines Goldwind, China Exim $392m, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL021,Addis Ababa Bole International Airport Expansion,Bole Airport Expansion,ETH,airports,commissioned,exact,8.978,38.797,POINT(38.797 8.978),"Bole Airport expansion by CCCC, capacity 7m to 22m, financed China Exim, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL022,Kafue Gorge Lower Hydropower Station,Kafue Gorge Lower,ZMB,hydropower|dams,commissioned,exact,-15.803,28.424,POINT(28.424 -15.803),"Kafue Gorge Lower 750 MW 5x150MW by Sinohydro, $2bn, 85% Exim+ICBC, 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL023,Julius Nyerere Hydropower Plant and Dam,Nyerere Dam,TZA,hydropower|dams,commissioned,exact,-7.809,37.861,POINT(37.861 -7.809),"Nyerere 2115 MW 9x235MW by Arab Contractors/Elsewedy, $2.9bn, 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL024,Maputo-Katembe Bridge,Maputo Bay Bridge,MOZ,bridges,commissioned,exact,-25.973,32.572,POINT(32.572 -25.973),"Maputo-Katembe 3,041m suspension by CRBC, $785m 85% Exim loan, opened 2018-11-10",,2026-09-11,2026-09-11
wba_prj_01HREAL025,New Bugesera International Airport,Bugesera Airport,RWA,airports,construction_started,exact,-2.130,30.181,POINT(30.181 -2.130),"Bugesera Airport $818m PPP by Mota-Engil 75%, 25yr DBFOM, construction started",,2026-09-11,2026-09-11
wba_prj_01HREAL026,Dakar Regional Express Train,Dakar TER,SEN,railways|public_transport,commissioned,corridor,,,"LINESTRING(-17.45 14.69, -17.07 14.78)","Dakar TER 55km electrified double track by Eiffage/Yapi Merkezi/CSE, ERTMS, 2016-2021",,2026-09-11,2026-09-11
wba_prj_01HREAL027,Bui Hydropower Dam,Bui Dam,GHA,hydropower|dams,commissioned,exact,8.278,-2.121,POINT(-2.121 8.278),"Bui 400MW 3x133MW by Sinohydro, $790m, 60yr, commissioned 2013",,2026-09-11,2026-09-11
wba_prj_01HREAL028,Lauca Hydroelectric Power Station,Lauca Dam,AGO,hydropower|dams,commissioned,exact,-9.743,15.121,POINT(15.121 -9.743),"Lauca 2070MW 6x338MW by Odebrecht/OEC, $4.3bn, ANDRITZ turbines, 2017-2023",,2026-09-11,2026-09-11
wba_prj_01HREAL029,Kampala-Entebbe Expressway,Kampala-Entebbe Road,UGA,roads,commissioned,corridor,,,"LINESTRING(32.56 0.32, 32.47 0.06)","Kampala-Entebbe 51.4km 4-lane toll by CCCC, $476m 2/3 Exim $350m, 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL030,National Fibre Backbone Project Phase I-II,Malawi Fibre Backbone,MWI,telecommunications|digital_infrastructure,commissioned,exact,-13.962,33.787,POINT(33.787 -13.962),"Malawi 4000km fibre by Huawei, $121.8m China Exim, completed 2018",,2026-09-11,2026-09-11
wba_prj_01HREAL031,Tokwe-Mukosi Dam,Tokwe-Mukosi,ZWE,dams|water_supply,commissioned,exact,-20.728,30.507,POINT(30.507 -20.728),"Tokwe-Mukosi Dam 90.3m CFR 1.8Bn m3 by Webuild, completed Dec 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL032,NetOne Broadband Expansion Project Phase 3,NetOne Phase 3,ZWE,telecommunications|digital_infrastructure,commissioned,approximate,-17.825,31.033,,"NetOne 345 base stations 4G/5G by Huawei, RMB485m $71m, 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL033,Olkaria Geothermal Power Plants,Olkaria Geothermal,KEN,hydropower,commissioned,exact,-0.892,36.287,POINT(36.287 -0.892),"Olkaria Geothermal 140MW Units 4&5 + Olkaria V by JICA/Toshiba, 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL034,Nairobi Outer Ring Road Improvement Project,Outer Ring Road,KEN,roads,commissioned,corridor,,,"LINESTRING(36.86 -1.28, 36.89 -1.31)","Outer Ring Road 13km dual carriageway by China Wu Yi, AfDB UA77.6m, launched 2015",,2026-09-11,2026-09-11
wba_prj_01HREAL035,Genale Dawa III Multipurpose Hydropower Project,Genale Dawa III,ETH,hydropower|dams,commissioned,exact,5.846,39.221,POINT(39.221 5.846),"Genale Dawa III 254MW by CGGC, China Exim $326m, inaugurated Feb 2020",,2026-09-11,2026-09-11
wba_prj_01HREAL036,Kenneth Kaunda International Airport Expansion,KKIA Expansion,ZMB,airports,commissioned,exact,-15.325,28.449,POINT(28.449 -15.325),"KKIA Terminal 2 6M pax by CJIC, $360m Exim loan, 2015-2021",,2026-09-11,2026-09-11
wba_prj_01HREAL037,Tanzania Standard Gauge Railway Lots 3 & 4,Tanzania SGR 3-4,TZA,railways,construction_started,corridor,,,"LINESTRING(33.44 -6.16, 32.80 -5.02)","Tanzania SGR Makutopora-Tabora 368km + Tabora-Isaka 130km by Yapi Merkezi, $1.9bn, Dec 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL038,Nacala Railway and Port Corridor,Nacala Corridor,MOZ,railways|ports,commissioned,corridor,,,"LINESTRING(40.78 -14.54, 35.58 -14.38)","Nacala 912km rail+port corridor by Vale/Mitsui, 18MTPA coal, 2015-2017",,2026-09-11,2026-09-11
wba_prj_01HREAL039,Tema Port Expansion Terminal 3,Tema Port T3,GHA,ports,commissioned,exact,5.618,-0.018,POINT(-0.018 5.618),"Tema Port T3 3M TEU by APM/Bollore/CHEC, 1.4km quay, 2016-2019",,2026-09-11,2026-09-11
wba_prj_01HREAL040,Caculo Cabaca Hydropower Station,Caculo Cabaca,AGO,hydropower|dams,construction_started,exact,-9.312,16.016,POINT(16.016 -9.312),"Caculo Cabaca 2172MW by CGGC, ICBC 85% $4.5bn, construction Aug 2017, expected 2026",,2026-09-11,2026-09-11
wba_prj_01HREAL041,Noor Ouarzazate Solar Complex,Noor Ouarzazate,MAR,solar_power,commissioned,exact,31.048,-6.869,POINT(-6.869 31.048),"Noor Ouarzazate 580MW solar by ACWA Power/MASEN, Phase I 160MW 2016, $840m",,2026-09-11,2026-09-11
wba_prj_01HREAL042,Walvis Bay New Container Terminal,Walvis Bay Terminal,NAM,ports,commissioned,exact,-22.959,14.481,POINT(14.481 -22.959),"Walvis Bay 40ha reclaimed 750k TEU by CHEC, $260m, AfDB $200m, launched 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL043,Kribi Deep Sea Port Phase I & II,Kribi Port,CMR,ports,commissioned,exact,2.945,9.909,POINT(9.909 2.945),"Kribi Deep Sea Port 615m+715m wharf by CHEC, CMA CGM/Bollore concession, 2018/2025",,2026-09-11,2026-09-11
wba_prj_01HREAL044,Gautrain Rapid Rail System,Gautrain,ZAF,railways|public_transport,commissioned,corridor,,,"LINESTRING(28.05 -26.20, 28.11 -25.75)","Gautrain 80km 10 stations Johannesburg-Pretoria by Bombela Bouygues/Bombardier, 2006-2012",,2026-09-11,2026-09-11
wba_prj_01HREAL045,Busanga Hydropower Plant,Busanga,COD,hydropower|dams,commissioned,exact,-10.917,26.909,POINT(26.909 -10.917),"Busanga 240MW by PowerChina/CREC, SICOMINES $14bn, commissioned Oct 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL046,New Administrative Capital Central Business District,New Capital CBD,EGY,urban_development,commissioned,exact,30.020,31.667,POINT(31.667 30.020),"New Capital CBD 20 towers 385.8m Iconic Tower by CSCEC $3bn, structures 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL047,Blaise Diagne International Airport,AIBD Dakar,SEN,airports,commissioned,exact,14.670,-17.073,POINT(-17.073 14.670),"Blaise Diagne Airport 3M pax by Limak/Summa, BOT 25yr, opened Dec 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL048,BK Arena,Kigali Arena,RWA,other,commissioned,exact,-1.953,30.091,POINT(30.091 -1.953),"BK Arena 10,000 seats 28,750m2 by Summa Construction, 6 months 2019, $104m",,2026-09-11,2026-09-11
wba_prj_01HREAL049,Karuma Hydropower Plant,Karuma,UGA,hydropower|dams,commissioned,exact,2.235,32.233,POINT(32.233 2.235),"Karuma 600MW 6x100MW by Sinohydro, $1.7bn 85% Exim, commissioned Sep 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL050,Zagtouli Solar Power Station,Zagtouli Solar,BFA,solar_power,commissioned,exact,12.382,-1.477,POINT(-1.477 12.382),"Zagtouli 33MW 129k panels 55ha by Cegelec/Vinci, EU 25m + AFD 22.5m, commissioned Nov 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL051,Ajaokuta Steel Mill,Ajaokuta Steel,NGA,manufacturing|industrial_parks,abandoned,approximate,6.123,6.123,,"Ajaokuta Steel Mill turnkey by Tyazhpromexport USSR 1979, 98% complete abandoned",,2026-09-11,2026-09-11
wba_prj_01HREAL052,TAZARA Railway,Tanzam Railway,TZA,railways,commissioned,corridor,,,"LINESTRING(39.20 -6.82, 28.44 -12.96)","TAZARA Railway Dar es Salaam-Kapiri Mposhi 1860km by China, 1970-1975",,2026-09-11,2026-09-11
wba_prj_01HREAL053,Akosombo Dam,Volta Dam,GHA,hydropower|dams,commissioned,exact,-0.054,0.053,POINT(0.053 -0.054),"Akosombo Dam by Impregilo, 1961-1965, Volta River",,2026-09-11,2026-09-11
wba_prj_01HREAL054,Cahora Bassa Dam and HVDC System,Cahora Bassa,MOZ,hydropower|dams|transmission,commissioned,exact,-15.586,32.702,POINT(32.702 -15.586),"Cahora Bassa Dam and HVDC by Portugal/South Africa, 1969-1979",,2026-09-11,2026-09-11
wba_prj_01HREAL055,Aswan High Dam,Aswan Dam,EGY,hydropower|dams,commissioned,exact,23.973,32.881,POINT(32.881 23.973),"Aswan High Dam by Soviet Hydroproject, 1960-1971",,2026-09-11,2026-09-11
wba_prj_01HREAL056,Great Man-Made River Phases I-III,GMR,LBY,water_supply|irrigation,commissioned,corridor,,,"LINESTRING(16.0 32.0, 20.0 30.0)","Great Man-Made River by Dong Ah Korea, Phases I-II 1984-1996, III delayed post-2011",,2026-09-11,2026-09-11
wba_prj_01HREAL057,Merowe Dam,Hamdab Dam,SDN,hydropower|dams,commissioned,exact,18.668,31.842,POINT(31.842 18.668),"Merowe Dam 2004-2009 by CWE China, Lahmeyer Germany, Alstom France, opened 2009",,2026-09-11,2026-09-11
wba_prj_01HREAL058,Soubre Hydroelectric Power Station,Soubre Dam,CIV,hydropower|dams,commissioned,exact,5.787,-6.661,POINT(-6.661 5.787),"Soubre 275MW by Sinohydro, 2013-2017",,2026-09-11,2026-09-11
wba_prj_01HREAL059,Kilamba Kiaxi New City,Kilamba New City,AGO,housing|urban_development,commissioned,approximate,-8.992,13.276,,"Kilamba New City 750,000 units by CITIC China $3.5bn oil-backed, 2008-2012",,2026-09-11,2026-09-11
wba_prj_01HREAL060,Kandadji Dam,Kandadji Ecosys,NER,dams|water_supply|irrigation,delayed,approximate,14.612,0.986,,"Kandadji Dam by CGGC China, delayed since 2008, World Bank/AfDB financed",,2026-09-11,2026-09-11
wba_prj_01HREAL061,Bagamoyo Port and Special Economic Zone,Bagamoyo Port,TZA,ports|special_economic_zones,suspended,approximate,-6.478,38.901,,"Bagamoyo Port $10bn by China Merchants/Oman, framework 2013 suspended 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL062,East African Crude Oil Pipeline,EACOP,UGA,oil_gas,construction_started,corridor,,,"LINESTRING(30.00 1.37, 39.20 -6.82)","EACOP 1443km Hoima-Tanga by TotalEnergies/CNOOC, FID 2022, target 2026",,2026-09-11,2026-09-11
wba_prj_01HREAL063,Lobito Corridor Atlantic Railway,Lobito Corridor,AGO,railways|ports,proposed,corridor,,,"LINESTRING(12.35 -12.36, 27.84 -13.97)","Lobito Corridor Trafigura/Mota-Engil/Vecturis 30yr concession, MoU 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL064,Abidjan Metro Line 1,Abidjan Metro,CIV,railways|public_transport,delayed,corridor,,,"LINESTRING(-4.02 5.36, -3.96 5.40)","Abidjan Metro 37km by Bouygues/Alstom/Keolis, contract 2017 delayed to 2028",,2026-09-11,2026-09-11
wba_prj_01HREAL065,Djamaa El Djazair - Great Mosque of Algiers,Great Mosque Algiers,DZA,other,commissioned,exact,36.739,3.031,POINT(3.031 36.739),"Great Mosque of Algiers by CSCEC China 1bn 2012-2019, inaugurated 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL066,Algerian East-West Highway,East-West Highway,DZA,roads,commissioned,corridor,,,"LINESTRING(5.07 36.75, 7.76 36.46)","East-West Highway 1216km by CITIC-CRCC China + Cojaal Japan, 2006-2013",,2026-09-11,2026-09-11
wba_prj_01HREAL067,Enfidha-Hammamet International Airport,Enfidha Airport,TUN,airports,commissioned,exact,36.077,10.437,POINT(10.437 36.077),"Enfidha Airport by TAV Turkey BOT 40yr, built 2007-2009, commissioned 2009",,2026-09-11,2026-09-11
wba_prj_01HREAL068,Doraleh Container Terminal,Doraleh DCT,DJI,ports,cancelled,exact,11.600,43.150,POINT(43.150 11.600),Doraleh Container Terminal by DP World UAE BOT 30yr 2006-2018 cancelled 2018,,2026-09-11,2026-09-11
wba_prj_01HREAL069,Morupule B Power Station,Morupule B,BWA,other,commissioned,exact,-22.514,27.030,POINT(27.030 -22.514),"Morupule B 600MW 4x150MW by CNEEC China $970m, commissioned 2012-2014 defective",,2026-09-11,2026-09-11
wba_prj_01HREAL070,Africa CDC Headquarters Phase I,Africa CDC HQ,ETH,hospitals|government_buildings,commissioned,exact,8.997,38.771,POINT(38.771 8.997),"Africa CDC HQ 23,600m2 by CCECC China $80m grant, handover Jan 2023",,2026-09-11,2026-09-11
wba_prj_01HREAL071,Simandou Iron Ore Project Railway and Port,Simandou,GIN,railways|ports|mining_infrastructure,construction_started,corridor,,,"LINESTRING(-10.5 9.5, -13.5 10.2)","Simandou 650km Trans-Guineen Railway + deepwater port by WCS/Rio Tinto, 2023-2025",,2026-09-11,2026-09-11
wba_prj_01HREAL072,Abuja Light Rail,Abuja Rail,NGA,railways|public_transport,commissioned,corridor,,,"LINESTRING(7.49 9.07, 7.39 8.99)","Abuja Light Rail by CCECC China, China Exim 60% $500m, opened July 2018, suspended 2020-2024",,2026-09-11,2026-09-11
wba_prj_01HREAL073,Niger-Benin Crude Oil Export Pipeline,Niger-Benin Pipeline,NER,oil_gas,commissioned,corridor,,,"LINESTRING(2.11 13.5, 2.62 6.45)","Niger-Benin Pipeline 1950km Agadem-Seme by CNPC China, completed 2023 inaugurated 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL074,2Africa Submarine Telecommunications Cable,2Africa Cable,SEN,telecommunications,commissioned,corridor,,,"LINESTRING(-17.5 14.7, 0.1 5.6)","2Africa 45,000km submarine cable by Alcatel ASN, consortium Meta/Vodafone/Orange/STC, 2020-2025",,2026-09-11,2026-09-11
wba_prj_01HREAL075,Bumbuna Hydroelectric Power Station,Bumbuna Dam,SLE,hydropower|dams,commissioned,exact,9.067,-11.724,POINT(-11.724 9.067),"Bumbuna 50MW by Salini Impregilo Italy, feasibility 1971 war halt completed 2009",,2026-09-11,2026-09-11
wba_prj_01HREAL076,Jiji and Mulembwe Hydropower Projects,Jiji Mulembwe,BDI,hydropower|dams,commissioned,exact,3.806,29.917,POINT(29.917 3.806),"Jiji 32.5MW + Mulembwe 16.5MW by CMC/Orascom, ANDRITZ turbines, AfDB/EU/EIB, 2025",,2026-09-11,2026-09-11
wba_prj_01HREAL077,Cabo Verde Airports Modernisation,Cabo Verde Airports,CPV,airports,commissioned,corridor,,,"LINESTRING(-23.60 16.73, -22.93 16.15)","Cabo Verde 7 airports concession Vinci 70% + ANA 30% 40yr, Teixeira Duarte + Alves Ribeiro, 2022-2026",,2026-09-11,2026-09-11
wba_prj_01HREAL078,Boali Hydropower Complex Rehabilitation,Boali Complex,CAF,hydropower|dams,commissioned,exact,4.800,18.100,POINT(18.100 4.800),"Boali I/II/III 15+20+10MW by CGGC China, AfDB, HNAC Boali 2 2021",,2026-09-11,2026-09-11
wba_prj_01HREAL079,Djermaya Solar PV Power Plant,Djermaya Solar,TCD,solar_power,construction_started,exact,11.950,15.100,POINT(15.100 11.950),"Djermaya 32MWp Phase1 by Elsewedy Egypt, InfraCo/Aldwych, AfDB/Proparco, 2023-2025",,2026-09-11,2026-09-11
wba_prj_01HREAL080,Bambao-Mtsanga Hospital,Hôpital Bambao,COM,hospitals,commissioned,exact,-11.750,43.400,POINT(43.400 -11.750),"Bambao 120-bed Hospital by China Jiangsu RMB56.5m, El-Maarouf CHU by CSYIC RMB430m, grant 2017",,2026-09-11,2026-09-11
wba_prj_01HREAL081,Pointe-Noire to Brazzaville National Highway No.1,RN1 Dream Road,COG,roads,commissioned,corridor,,,"LINESTRING(15.03 -4.77, 15.27 -4.26)","Pointe-Noire-Brazzaville 535km RN1 by CSCEC China, Mar 2008-Mar 2016, inaugurated 2016",,2026-09-11,2026-09-11
wba_prj_01HREAL082,Nguema-Sipopo Road and Akurenam-Minang Road,Equatorial Guinea Roads,GNQ,roads,commissioned,corridor,,,"LINESTRING(8.78 3.75, 10.31 1.63)","Nguema-Sipopo 14.6km by Arab Contractors Egypt 2012, Akurenam-Minang 111km by CRBC China",,2026-09-11,2026-09-11
wba_prj_01HREAL083,Hirgigo Power Plant Extension,Hirgigo 46MW,ERI,other,commissioned,exact,15.336,39.650,POINT(39.650 15.336),"Hirgigo 2x23MW diesel by SFECO China, $98.6m Exim loan, 2015-2017",,2026-09-11,2026-09-11
wba_prj_01HREAL084,Maguga Dam,Maguga,SWZ,dams|water_supply,commissioned,exact,-26.070,31.120,POINT(31.120 -26.070),"Maguga Dam 115m 332hm3 by MDJV South Africa, 1998-2001, KOBWA 60/40 SA/Eswatini",,2026-09-11,2026-09-11
wba_prj_01HREAL085,Trans-Gabon Railway Modernisation,Trans-Gabon Phase III,GAB,railways|ports,construction_started,corridor,,,"LINESTRING(9.45 0.39, 13.70 -0.71)","Trans-Gabon 648km Owendo-Franceville by SETRAG Eramet/Meridiam, IFC/Proparco 312m + AFD 173m, 2026",,2026-09-11,2026-09-11
wba_prj_01HREAL086,Senegambia Bridge,Trans-Gambia Bridge,GMB,bridges|roads,commissioned,exact,13.534,-15.928,POINT(-15.928 13.534),"Senegambia Bridge 1.9km by Isolux Corsan Spain/Arezki Senegal, AfDB/EU, opened Jan 2019",,2026-09-11,2026-09-11
wba_prj_01HREAL087,Bissau-Safim Highway,Bissau Safim 8.2km,GNB,roads,commissioned,exact,11.865,-15.583,POINT(-15.583 11.865),"Bissau-Safim 8.2km by Longjian China, $30m grant, inaugurated Jun 2025",,2026-09-11,2026-09-11
wba_prj_01HREAL088,Katse Dam,Lesotho Highlands Katse,LSO,dams|water_supply,commissioned,exact,-29.334,28.520,POINT(28.520 -29.334),"Katse Dam 185m arch by HWV Impregilo/Bouygues/Hochtief, 1991-1997",,2026-09-11,2026-09-11
wba_prj_01HREAL089,Mount Coffee Hydropower Rehabilitation,Mount Coffee,LBR,hydropower|dams,commissioned,exact,6.303,-10.356,POINT(-10.356 6.303),"Mount Coffee 64MW rehabilitation by Dawnus UK/VOITH Germany, 2014-2016, war destroyed 1990",,2026-09-11,2026-09-11
wba_prj_01HREAL090,Sahofika Hydropower Project,Sahofika,MDG,hydropower|dams,proposed,exact,-19.250,47.850,POINT(47.850 -19.250),"Sahofika 192MW by Eranove/Eiffage France, ESIA 2019, pre-construction",,2026-09-11,2026-09-11
wba_prj_01HREAL091,Gouina Hydropower Station,Gouina 140MW,MLI,hydropower|dams,commissioned,exact,14.752,-11.057,POINT(-11.057 14.752),"Gouina 140MW run-of-river by Sinohydro 15/16, PowerChina, China Exim $326m, 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL092,Friendship Port of Nouakchott Expansion,Nouakchott Port,MRT,ports,commissioned,exact,18.083,-15.975,POINT(-15.975 18.083),"Friendship Port 3 berths by CRBC China, interest-free loans RMB120m+RMB290m, 1979-1986 and 2014-2016",,2026-09-11,2026-09-11
wba_prj_01HREAL093,Metro Express Light Rail,Metro Express,MUS,railways|public_transport,commissioned,corridor,,,"LINESTRING(57.49 -20.24, 57.50 -20.16)","Metro Express 26km Curepipe-Port Louis 19 stations by Larsen & Toubro India Rs557m, 2017-2019",,2026-09-11,2026-09-11
wba_prj_01HREAL094,Sao Tome International Airport Upgrade,Sao Tome Airport,STP,airports,proposed,exact,0.380,6.712,POINT(6.712 0.380),"Sao Tome Airport 2,170 to 2,800m by FB Group Turkey 300m BOT + China $100m grant, 2024",,2026-09-11,2026-09-11
wba_prj_01HREAL095,Port Victoria Rehabilitation and Extension,Port Victoria,SYC,ports,construction_started,exact,-4.616,55.471,POINT(55.471 -4.616),"Port Victoria quay extension + dredging 16m by Jan De Nul Belgium, EIB 12.5m + AFD 16.5m, 2023-2026",,2026-09-11,2026-09-11
wba_prj_01HREAL096,Mogadishu Road Projects,Mogadishu Roads,SOM,roads,commissioned,corridor,,,"LINESTRING(45.33 2.03, 45.30 2.10)","Mogadishu 90km + Afgoye 22km dual carriageway by ENEZ Turkey, Qatar $200m grant, 2019-2022",,2026-09-11,2026-09-11
wba_prj_01HREAL097,Juba-Nimule Road,Juba-Nimule 192km,SSD,roads,commissioned,corridor,,,"LINESTRING(31.60 4.85, 32.06 3.78)","Juba-Nimule 192km by Louis Berger USA/Gulsan Turkey, USAID $223m, 2008-2012",,2026-09-11,2026-09-11
wba_prj_01HREAL098,Lome Container Terminal,Lome LCT,TGO,ports,commissioned,exact,6.135,1.300,POINT(1.300 6.135),"Lome Container Terminal 1,050m 53ha by Bollore/China Merchants 35yr, IFC/AfDB/CDB, 2008-2014",,2026-09-11,2026-09-11
wba_prj_01HREAL099,Porto Ingles Modernisation,Maio Port,CPV,ports,commissioned,exact,15.138,-23.214,POINT(-23.214 15.138),"Porto Ingles Maio jetty by Teixeira Duarte 37% + SETH 33% + Armando Cunha 30%, AfDB EUR36m, inaugurated Sep 2022",,2026-09-11,2026-09-11
wba_prj_01HREAL100,Dakhla Atlantic Port,Dakhla Port,ESH,ports,construction_started,exact,23.700,-15.900,POINT(-15.900 23.700),"Dakhla Atlantic Port 1,650m deepwater port in Western Sahara by SGTM Morocco, construction 2021-2028",,2026-09-11,2026-09-11
